session_id,class,subject,teacher,day,period,room
S19,11C,Electrical Technology,N/A,4,4,
S97,12B,Integral Calculus and Differential Equations,mashud,4,4,
S111,12C,Computer Programming Language Sessional,Abdullah,4,4,ME01
S131,21B,Electrical Machines,eee259 course teacher,4,4,
S136,21A,Electrical Machines Sessional,eee260 course teacher,4,4,EEE02
S190,31A,Work Study and Ergonomics Sessional,a,4,4,IPE01
S36,11C,Differential Calculus and Coordinate Geometry,israt,4,5,
S65,12A,Chemistry-II,chanchal,4,5,
S133,21C,Electrical Machines,a,4,5,
S60,11C,Workshop Practice-I,rajib,4,7,SHOP01
S110,12B,Computer Programming Language Sessional,Abdullah,4,7,ME01
S42,11C,Introduction to Mechanical Engineering,Alok,5,1,
S44,11B,Introduction to Mechanical Engineering,Naseem,5,1,
S61,12A,Chemistry-II,kaium,5,1,
S84,12C,English-I,rakinul,5,1,
S116,12B,Physics-II,azizar,5,1,
S150,21C,Vector Analysis and Complex Variables,shohel,5,1,
S167,21B,Engineering Thermodynamics,me203 course teacher,5,1,
S186,31C,Work Study and Ergonomics,a,5,1,
S8,11B,Chemistry-I,miran,5,2,
S55,11A,Physics-I,jellur,5,2,
S86,12B,English-I,motaleb,5,2,
S145,21A,Bangladesh History and Culture,a,5,2,
S149,21B,Vector Analysis and Complex Variables,shohel,5,2,
S193,31A,Heat Transfer,Naseem,5,2,
S9,11C,Chemistry-I,miran,5,3,
S26,11B,Differential Calculus and Coordinate Geometry,shohel,5,3,
S28,11A,Differential Calculus and Coordinate Geometry,alim,5,3,
S85,12A,English-I,motaleb,5,3,
S101,12B,Computer Programming Language,shavik,5,3,
S108,12C,Computer Programming Language,a,5,3,
S128,21A,Electrical Machines,eee259 course teacher,5,3,
S140,21B,Bangladesh History and Culture,a,5,3,
S182,31B,Work Study and Ergonomics,a,5,3,
S184,31A,Work Study and Ergonomics,a,5,3,
S195,31C,Heat Transfer,Naseem,5,3,
S7,11A,Chemistry-I,miran,5,4,
S57,11C,Physics-I,jellur,5,4,
S67,12B,Chemistry-II,chanchal,5,4,
S93,12C,Integral Calculus and Differential Equations,halim,5,4,
S100,12A,Computer Programming Language,shavik,5,4,
S135,21C,Electrical Machines,a,5,4,
S179,21B,Engineering Mechanics-I,afsar,5,4,
S234,31C,Instrumentation and Measurement,a,5,4,
S27,11C,Differential Calculus and Coordinate Geometry,shohel,5,5,
S43,11A,Introduction to Mechanical Engineering,Naseem,5,5,
S63,12C,Chemistry-II,kaium,5,5,
S154,21A,Vector Analysis and Complex Variables,israt,5,5,
S211,31A,Fluid Mechanics-I,a,5,5,
S47,11B,Mechanical Engineering Drawing-I,Abdullah,5,7,416
S58,11A,Workshop Practice-I,rajib,5,7,SHOP01
S113,12B,Physics-II Sessional,nasreen,5,7,PHY01
S138,21C,Electrical Machines Sessional,eee259 course teacher,5,7,EEE02
S170,21B,Engineering Thermodynamics Sessional,Ashiq,5,7,ME02
S235,31A,Electro-Mechanical System Design and Practice,a,5,7,ME05
